,DATE,SOLAR,F_NAIVE,F_DIFF,F_SARIMA,F_LSTM,F_ENSEMBLE
0,1/1/2019 0:00,0,0,0,0,0,0
1,1/1/2019 1:00,0,0,0,0,0,0
2,1/1/2019 2:00,0,0,0,0,0,0
3,1/1/2019 3:00,0,0,0,0,0,0
4,1/1/2019 4:00,0,0,0,0,0,0
5,1/1/2019 5:00,0,0,0,0,0,0
6,1/1/2019 6:00,0,0,0,0,1,0.5
7,1/1/2019 7:00,1245,0,405,899,1162,1030.5
8,1/1/2019 8:00,5265,1245,3428,4478,4568,4523
9,1/1/2019 9:00,7794,5265,6690,7303,7499,7401
10,1/1/2019 10:00,8253,7794,7907,8123,8199,8161
11,1/1/2019 11:00,8157,8253,8256,7952,8168,8060
12,1/1/2019 12:00,8145,8157,8817,8076,8065,8070.5
13,1/1/2019 13:00,8249,8145,8275,7835,7974,7904.5
14,1/1/2019 14:00,7569,8249,8218,7602,7575,7588.5
15,1/1/2019 15:00,4681,7569,5828,4856,4766,4811
16,1/1/2019 16:00,754,4681,1977,1196,673,934.5
17,1/1/2019 17:00,0,754,311,0,0,0
18,1/1/2019 18:00,0,0,0,0,0,0
19,1/1/2019 19:00,0,0,0,0,0,0
20,1/1/2019 20:00,0,0,0,0,0,0
21,1/1/2019 21:00,0,0,0,0,0,0
22,1/1/2019 22:00,0,0,0,0,0,0
23,1/1/2019 23:00,0,0,0,0,0,0
24,1/2/2019 0:00,0,0,0,0,0,0
25,1/2/2019 1:00,0,0,0,0,0,0
26,1/2/2019 2:00,0,0,0,0,0,0
27,1/2/2019 3:00,0,0,0,0,0,0
28,1/2/2019 4:00,0,0,0,0,0,0
29,1/2/2019 5:00,0,0,0,0,0,0
30,1/2/2019 6:00,0,0,0,0,1,0.5
31,1/2/2019 7:00,1251,0,1245,1125,1124,1124.5
32,1/2/2019 8:00,5425,1251,5271,4952,5213,5082.5
33,1/2/2019 9:00,7830,5425,7954,7741,7641,7691
34,1/2/2019 10:00,8165,7830,8289,8201,8154,8177.5
35,1/2/2019 11:00,8055,8165,8069,7925,8052,7988.5
